item_id,museum,image_url,proposal_status,match_score,match_rule,candidate_count,top_candidate_count,candidate_paths,proposed_image_local_path,proposed_filename,proposed_sha256,proposed_image_width,proposed_image_height,proposal_version
MET:308029,MET,https://images.metmuseum.org/CRDImages/ao/original/DP18594.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:308034,MET,https://images.metmuseum.org/CRDImages/ao/original/DP18571.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:308035,MET,https://images.metmuseum.org/CRDImages/ao/original/DP18570.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:308036,MET,https://images.metmuseum.org/CRDImages/ao/original/33.149.1-67-70-76.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:308037,MET,https://images.metmuseum.org/CRDImages/ao/original/DP18551.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:308039,MET,https://images.metmuseum.org/CRDImages/ao/original/DP18447.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:308040,MET,https://images.metmuseum.org/CRDImages/ao/original/DP18451.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:308042,MET,https://images.metmuseum.org/CRDImages/ao/original/TP391.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:308044,MET,https://images.metmuseum.org/CRDImages/ao/original/DP18526.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:308046,MET,https://images.metmuseum.org/CRDImages/ao/original/DP18569.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:308048,MET,https://images.metmuseum.org/CRDImages/ao/original/DP18558.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:308053,MET,https://images.metmuseum.org/CRDImages/ao/original/DP18553.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:308056,MET,https://images.metmuseum.org/CRDImages/ao/original/DP18567.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
MET:308057,MET,https://images.metmuseum.org/CRDImages/ao/original/DP18568.jpg,unmatched,0,,0,0,,,,,0,0,image_local_path_proposals_v1
